country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size
Brazil,Technology,Midjourney,21.23,4379,2024,35-44,SME
South Korea,Agriculture,ChatGPT,56.79,4393,2023,45-54,Enterprise
Australia,Finance,Stable Diffusion,99.09,9576,2024,18-24,Enterprise
Australia,Technology,Stable Diffusion,43.42,4482,2024,45-54,SME
Australia,Agriculture,ChatGPT,4.2,1994,2024,35-44,Startup
UK,Transportation,ChatGPT,56.51,8876,2024,25-34,SME
UK,Retail,ChatGPT,70.76,2478,2024,45-54,Enterprise
Australia,Agriculture,Midjourney,52.85,171,2024,25-34,Enterprise
France,Education,Midjourney,63.77,7586,2023,18-24,SME
UK,Agriculture,Midjourney,63.83,6002,2024,45-54,Enterprise
Canada,Healthcare,ChatGPT,55.79,5491,2024,55+,Enterprise
UK,Education,Midjourney,58.02,2257,2024,55+,Startup
China,Transportation,ChatGPT,87.09,4158,2024,18-24,Startup
China,Manufacturing,ChatGPT,89.82,544,2023,25-34,SME
USA,Manufacturing,Bard,74.99,1668,2024,18-24,SME
UK,Manufacturing,Midjourney,99.95,2440,2024,35-44,SME
France,Healthcare,ChatGPT,73.32,2402,2024,18-24,Startup
Australia,Technology,Bard,17.49,6568,2024,35-44,Startup
South Korea,Technology,Stable Diffusion,41.75,2592,2024,25-34,SME
USA,Healthcare,ChatGPT,31.78,5244,2024,45-54,SME
France,Healthcare,Midjourney,76.08,2063,2023,55+,Enterprise
France,Agriculture,ChatGPT,16.97,3894,2024,18-24,Startup
UK,Manufacturing,Midjourney,61.44,7975,2024,35-44,Enterprise
China,Education,ChatGPT,54.15,1165,2024,18-24,Enterprise
Germany,Education,Midjourney,85.74,1077,2024,25-34,Startup
Australia,Healthcare,Stable Diffusion,10.7,9413,2023,35-44,Enterprise
Brazil,Retail,Midjourney,50.78,8865,2024,55+,SME
Australia,Agriculture,Midjourney,20.54,9954,2024,25-34,Startup
Canada,Manufacturing,ChatGPT,54.96,3171,2023,45-54,SME
Australia,Healthcare,Stable Diffusion,9.41,1639,2024,18-24,Enterprise
USA,Education,ChatGPT,40.34,5757,2024,35-44,SME
Australia,Transportation,Midjourney,79.86,2777,2023,55+,Startup
USA,Retail,Midjourney,30.21,1288,2024,25-34,SME
South Korea,Agriculture,ChatGPT,22.6,4318,2024,18-24,SME
Brazil,Finance,ChatGPT,4.81,9027,2023,45-54,Startup
Canada,Agriculture,Stable Diffusion,56.89,8701,2024,25-34,Enterprise
Germany,Retail,ChatGPT,86.29,6664,2023,25-34,Startup
France,Manufacturing,ChatGPT,16.45,1118,2024,35-44,Startup
Australia,Transportation,Midjourney,80.19,1667,2023,35-44,Enterprise
France,Manufacturing,ChatGPT,67.33,7870,2024,45-54,SME
Canada,Healthcare,Midjourney,23.63,7536,2023,25-34,SME
China,Technology,ChatGPT,84.43,8299,2024,55+,Enterprise
USA,Healthcare,Stable Diffusion,70.95,154,2024,55+,Enterprise
China,Transportation,Midjourney,31.6,6783,2024,45-54,Enterprise
Canada,Manufacturing,Midjourney,95.67,1764,2024,45-54,Enterprise
UK,Education,Midjourney,38.38,7083,2024,45-54,Startup
Canada,Finance,Midjourney,38.51,8251,2024,18-24,Startup
China,Manufacturing,ChatGPT,85.78,1343,2023,25-34,SME
South Korea,Transportation,ChatGPT,23.47,2872,2024,45-54,Startup
Germany,Technology,Midjourney,99.33,1472,2024,55+,Enterprise
Brazil,Retail,Midjourney,47.08,582,2024,18-24,Startup
Germany,Healthcare,ChatGPT,65.96,424,2024,25-34,SME
UK,Education,ChatGPT,4.11,3135,2024,18-24,Startup
Australia,Agriculture,ChatGPT,80.37,5160,2023,35-44,SME
China,Retail,ChatGPT,20.39,6921,2024,18-24,SME
China,Education,Bard,8.47,4739,2024,18-24,Startup
Germany,Transportation,Bard,95.38,4210,2024,45-54,SME
Brazil,Education,Midjourney,97.32,743,2024,25-34,Startup
India,Finance,Stable Diffusion,64.97,8070,2024,18-24,Startup
UK,Finance,Claude,42.76,2674,2024,35-44,SME
Australia,Agriculture,ChatGPT,33.11,5434,2024,55+,SME
France,Transportation,Stable Diffusion,0.32,9114,2024,35-44,SME
UK,Finance,Midjourney,22.56,9878,2023,35-44,SME
USA,Retail,Stable Diffusion,57.12,2617,2024,35-44,SME
USA,Manufacturing,ChatGPT,16.1,2067,2023,35-44,Enterprise
UK,Education,ChatGPT,34,5142,2024,45-54,SME
Brazil,Education,Midjourney,5.31,2812,2024,35-44,SME
USA,Transportation,Stable Diffusion,59.52,7321,2024,18-24,Startup
Brazil,Agriculture,Midjourney,20.69,7938,2024,45-54,Enterprise
Australia,Manufacturing,ChatGPT,82.17,1117,2024,55+,SME
USA,Manufacturing,Claude,43.75,4426,2023,55+,SME
Germany,Transportation,Midjourney,48.35,8989,2024,25-34,SME
China,Healthcare,Midjourney,41.25,4752,2024,35-44,SME
South Korea,Healthcare,Claude,9.47,831,2024,18-24,SME
Canada,Agriculture,ChatGPT,49.02,2961,2023,25-34,Enterprise
Germany,Education,Midjourney,45.36,6433,2024,35-44,Enterprise
China,Technology,ChatGPT,46.28,2854,2023,18-24,Startup
Canada,Manufacturing,ChatGPT,85.08,4751,2024,35-44,SME
USA,Transportation,ChatGPT,64.69,7416,2024,45-54,Enterprise
China,Healthcare,ChatGPT,37.66,2601,2024,18-24,Enterprise
India,Transportation,Midjourney,62.74,4030,2023,25-34,Enterprise
Australia,Retail,Midjourney,58.95,9209,2024,25-34,Startup
Australia,Transportation,Stable Diffusion,64.48,2237,2024,45-54,Enterprise
UK,Retail,ChatGPT,69.38,2450,2024,25-34,Enterprise
India,Transportation,Midjourney,45.38,4243,2023,45-54,Startup
Germany,Healthcare,ChatGPT,43.01,1440,2023,18-24,Enterprise
Brazil,Education,ChatGPT,92.69,3105,2024,18-24,Startup
China,Education,Midjourney,50.83,4109,2023,25-34,Enterprise
India,Manufacturing,Midjourney,34.43,3571,2023,18-24,Enterprise
India,Transportation,Bard,1.98,4111,2023,55+,SME
Brazil,Manufacturing,Stable Diffusion,31.97,9346,2024,35-44,SME
India,Manufacturing,ChatGPT,96.02,7427,2024,25-34,SME
Canada,Agriculture,ChatGPT,50.89,9682,2024,18-24,SME
South Korea,Retail,Midjourney,73.81,6225,2024,18-24,Startup
Australia,Healthcare,Bard,79.07,8121,2023,35-44,Enterprise
UK,Agriculture,ChatGPT,55.8,7129,2023,18-24,SME
China,Manufacturing,Stable Diffusion,31.84,9789,2024,55+,Startup
USA,Healthcare,ChatGPT,51.62,8528,2023,35-44,SME
India,Healthcare,ChatGPT,90.23,5565,2023,35-44,Startup
South Korea,Retail,ChatGPT,0.36,5557,2024,35-44,Enterprise
India,Agriculture,Midjourney,48.39,9673,2023,55+,SME
USA,Transportation,Midjourney,92.64,6374,2024,45-54,Enterprise
Brazil,Finance,Midjourney,57.16,3825,2024,35-44,Startup
UK,Transportation,Claude,4.51,1931,2024,45-54,Enterprise
Germany,Healthcare,ChatGPT,95.59,1429,2024,18-24,Enterprise
France,Technology,ChatGPT,40.13,609,2023,18-24,Enterprise
Canada,Healthcare,ChatGPT,1.59,5219,2024,18-24,Startup
South Korea,Healthcare,Stable Diffusion,56.33,7529,2024,25-34,Enterprise
UK,Technology,Stable Diffusion,76.5,4855,2024,18-24,Startup
France,Technology,ChatGPT,19.88,8483,2024,18-24,Enterprise
Brazil,Technology,Midjourney,93.43,4993,2024,45-54,Startup
UK,Education,ChatGPT,14.53,2023,2023,35-44,SME
China,Technology,Stable Diffusion,18.46,1731,2023,55+,Enterprise
South Korea,Finance,Claude,88.52,9605,2024,18-24,Enterprise
China,Education,Claude,58.96,9181,2024,35-44,Startup
USA,Manufacturing,ChatGPT,87.38,8288,2023,25-34,Startup
Canada,Healthcare,Midjourney,66.33,7006,2023,55+,Enterprise
South Korea,Healthcare,Stable Diffusion,73.2,273,2023,35-44,Enterprise
USA,Agriculture,Midjourney,50.72,7926,2024,35-44,Enterprise
Brazil,Retail,Claude,7.7,9493,2024,35-44,Startup
Brazil,Education,Midjourney,69.16,4011,2024,18-24,Startup
South Korea,Transportation,ChatGPT,29.2,9212,2024,55+,Startup
UK,Manufacturing,ChatGPT,73.91,5862,2024,45-54,Enterprise
China,Technology,ChatGPT,26.02,7304,2023,35-44,Enterprise
Canada,Technology,Stable Diffusion,70.77,809,2024,55+,SME
India,Healthcare,ChatGPT,48.56,2229,2024,25-34,Enterprise
Brazil,Finance,ChatGPT,70.39,2195,2024,25-34,Enterprise
Australia,Healthcare,ChatGPT,62.79,4321,2024,55+,Startup
UK,Retail,ChatGPT,76.55,3208,2024,45-54,SME
Canada,Transportation,Stable Diffusion,62.16,3429,2024,25-34,Startup
France,Manufacturing,Midjourney,37.79,3585,2024,45-54,SME
Canada,Manufacturing,ChatGPT,84.89,9881,2024,18-24,Enterprise
Brazil,Transportation,ChatGPT,60.14,6278,2024,18-24,Startup
South Korea,Finance,ChatGPT,72.23,4450,2024,35-44,Startup
South Korea,Manufacturing,ChatGPT,77.36,410,2024,18-24,SME
Australia,Education,Midjourney,14.77,4077,2023,55+,SME
France,Transportation,ChatGPT,48.72,3512,2024,35-44,Startup
Germany,Agriculture,Midjourney,86.81,3293,2024,35-44,Startup
USA,Manufacturing,Midjourney,54.04,9650,2024,18-24,SME
UK,Agriculture,Midjourney,35.71,5107,2023,55+,Startup
Brazil,Agriculture,Midjourney,32,6407,2024,25-34,Enterprise
India,Education,Midjourney,68.59,6599,2024,45-54,SME
Canada,Manufacturing,Midjourney,71.95,3063,2023,45-54,Startup
India,Finance,Midjourney,81.41,1335,2023,25-34,Startup
UK,Healthcare,Midjourney,74.3,8253,2023,18-24,Enterprise
India,Transportation,Bard,5.75,9124,2023,18-24,Enterprise
France,Healthcare,ChatGPT,76.56,8448,2023,35-44,Startup
Brazil,Agriculture,Midjourney,33.53,6942,2024,25-34,SME
France,Manufacturing,Bard,82.59,7753,2023,25-34,Enterprise
France,Technology,ChatGPT,69.1,4962,2023,35-44,SME
China,Agriculture,Bard,27.84,5950,2024,25-34,SME
Canada,Manufacturing,Midjourney,1.11,6308,2023,45-54,Startup
India,Healthcare,Midjourney,57.45,7550,2023,45-54,Enterprise
Germany,Technology,Midjourney,34.84,9934,2023,35-44,Enterprise
Canada,Retail,ChatGPT,85.23,1474,2024,18-24,SME
Australia,Manufacturing,Midjourney,47.13,6124,2023,55+,Startup
USA,Education,Bard,4.41,5942,2023,45-54,Enterprise
Brazil,Transportation,Midjourney,95.15,5631,2024,55+,Startup
UK,Transportation,ChatGPT,27.47,1959,2024,25-34,Enterprise
Brazil,Technology,ChatGPT,64.39,6069,2023,18-24,Enterprise
Canada,Finance,ChatGPT,21.08,3085,2024,35-44,Startup
Canada,Finance,Midjourney,37.17,5470,2024,45-54,Enterprise
Australia,Education,Stable Diffusion,10.22,3618,2024,35-44,SME
Brazil,Manufacturing,ChatGPT,98.89,4579,2024,45-54,SME
India,Retail,ChatGPT,66.25,6897,2024,45-54,SME
Canada,Finance,Stable Diffusion,8.83,6111,2024,18-24,SME
USA,Finance,ChatGPT,54.79,2575,2024,35-44,Enterprise
UK,Technology,ChatGPT,4.39,5244,2024,18-24,Enterprise
Brazil,Technology,Bard,39.08,623,2024,45-54,Enterprise
Brazil,Finance,ChatGPT,86.72,6078,2024,18-24,Enterprise
China,Retail,ChatGPT,46.17,9233,2024,45-54,Startup
Germany,Education,Claude,7.25,2920,2024,55+,SME
Canada,Healthcare,ChatGPT,58.88,3018,2023,18-24,SME
Germany,Finance,Stable Diffusion,65,6015,2024,18-24,Startup
India,Transportation,Stable Diffusion,28.06,1620,2024,18-24,SME
Germany,Transportation,ChatGPT,14.85,685,2023,35-44,Startup
UK,Manufacturing,Midjourney,1.81,3844,2024,35-44,Enterprise
Canada,Transportation,Midjourney,34.97,2023,2024,55+,Startup
South Korea,Transportation,Midjourney,87.96,5782,2024,35-44,Enterprise
Canada,Retail,Midjourney,40.68,1865,2024,45-54,Startup
Germany,Agriculture,Midjourney,49,7245,2024,18-24,Startup
Australia,Technology,Midjourney,4.1,363,2023,55+,Enterprise
France,Healthcare,ChatGPT,97.41,7986,2023,45-54,Enterprise
UK,Technology,ChatGPT,16.22,6188,2024,25-34,Enterprise
UK,Retail,Bard,43.82,7461,2023,55+,Startup
China,Retail,Midjourney,60.7,5179,2024,45-54,SME
Brazil,Education,ChatGPT,10.94,5639,2024,35-44,Startup
Brazil,Retail,Midjourney,85.79,131,2024,35-44,Enterprise
India,Transportation,Stable Diffusion,27.2,1002,2024,55+,Startup
Germany,Healthcare,ChatGPT,22.5,8094,2024,18-24,SME
China,Retail,ChatGPT,34.04,2255,2023,18-24,SME
South Korea,Transportation,Stable Diffusion,58.12,1451,2024,45-54,Enterprise
USA,Retail,Stable Diffusion,31.22,9456,2023,55+,SME
China,Retail,ChatGPT,60.27,4550,2024,55+,Startup
Germany,Retail,Midjourney,7.78,2687,2024,25-34,Startup
Canada,Healthcare,Midjourney,40.8,7186,2023,18-24,Enterprise
China,Healthcare,ChatGPT,38.48,9894,2023,25-34,SME
Canada,Transportation,Midjourney,64.19,9936,2023,18-24,Startup
France,Finance,Stable Diffusion,20.21,7781,2024,18-24,Enterprise
Brazil,Retail,Midjourney,99.76,1674,2024,35-44,Startup
USA,Education,Stable Diffusion,31.02,4855,2024,18-24,Enterprise
India,Transportation,ChatGPT,30.24,5844,2023,18-24,Enterprise
USA,Finance,ChatGPT,60.04,3490,2023,45-54,Startup
South Korea,Transportation,Midjourney,38.82,7899,2024,45-54,Enterprise
Australia,Transportation,ChatGPT,22.58,2662,2024,25-34,Enterprise
Canada,Technology,Stable Diffusion,19.6,9541,2024,45-54,SME
France,Retail,ChatGPT,49.25,3060,2023,35-44,Enterprise
Canada,Manufacturing,Bard,72.16,8593,2023,55+,SME
China,Education,Midjourney,94.22,6683,2024,18-24,SME
Canada,Technology,ChatGPT,61.16,3348,2024,45-54,Startup
France,Retail,Stable Diffusion,10.78,8086,2024,45-54,Startup
USA,Finance,ChatGPT,28.98,2103,2024,25-34,Startup
Australia,Manufacturing,Claude,55.01,7782,2024,25-34,Enterprise
UK,Finance,Stable Diffusion,58.47,7384,2024,45-54,SME
USA,Agriculture,ChatGPT,26.88,1355,2023,55+,Startup
China,Manufacturing,Midjourney,46.75,4489,2024,18-24,Enterprise
UK,Education,Stable Diffusion,45.57,9815,2024,55+,Enterprise
Germany,Agriculture,ChatGPT,75.17,7130,2024,45-54,SME
China,Technology,ChatGPT,42.1,4175,2024,25-34,Startup
Australia,Healthcare,ChatGPT,55.9,8072,2024,55+,Startup
UK,Healthcare,Stable Diffusion,48.81,470,2024,45-54,SME
UK,Education,Stable Diffusion,0.36,3265,2024,18-24,Startup
France,Technology,ChatGPT,64.97,1734,2023,45-54,SME
USA,Agriculture,ChatGPT,74.95,5618,2024,45-54,SME
Germany,Retail,Midjourney,48.74,3497,2024,35-44,SME
USA,Education,Midjourney,68.17,7606,2023,18-24,SME
South Korea,Finance,Claude,25.42,9811,2024,18-24,Enterprise
India,Finance,Midjourney,68.12,3532,2024,25-34,Enterprise
Brazil,Transportation,ChatGPT,85.44,6133,2024,35-44,SME
India,Manufacturing,ChatGPT,84.78,7044,2024,25-34,Startup
Germany,Education,ChatGPT,87.01,451,2023,25-34,SME
Australia,Technology,Midjourney,11.41,1697,2024,55+,Startup
Brazil,Healthcare,Midjourney,43.92,8370,2024,18-24,Enterprise
India,Education,ChatGPT,87.88,6375,2024,35-44,Enterprise
China,Education,Stable Diffusion,99.16,9835,2024,45-54,Enterprise
Brazil,Manufacturing,ChatGPT,79.51,7574,2024,45-54,SME
Germany,Technology,Midjourney,53.33,7433,2023,18-24,SME
China,Healthcare,ChatGPT,82.93,359,2024,55+,Startup
France,Education,Stable Diffusion,39.42,159,2024,18-24,SME
USA,Finance,Midjourney,23.2,9035,2024,25-34,Enterprise
Brazil,Healthcare,Midjourney,26.08,1910,2023,35-44,Enterprise
Brazil,Technology,Stable Diffusion,93.57,5615,2023,45-54,SME
Brazil,Agriculture,Midjourney,42.68,1269,2024,18-24,Enterprise
China,Transportation,ChatGPT,95.75,4517,2024,35-44,SME
India,Agriculture,Claude,57.17,2343,2024,18-24,SME
UK,Technology,ChatGPT,3.42,5066,2023,55+,Startup
Germany,Retail,ChatGPT,70.79,4773,2024,55+,Enterprise
South Korea,Transportation,Midjourney,37.44,7582,2024,18-24,SME
Australia,Healthcare,Midjourney,61.3,5717,2024,35-44,Startup
South Korea,Transportation,Bard,25.57,1170,2024,35-44,Enterprise
France,Retail,ChatGPT,44.25,4586,2024,55+,Startup
France,Manufacturing,Stable Diffusion,3.28,2909,2024,55+,Enterprise
India,Healthcare,ChatGPT,43.01,5109,2023,18-24,SME
USA,Transportation,Stable Diffusion,88.5,6406,2023,18-24,SME
USA,Transportation,Bard,97.29,7784,2024,55+,SME
Canada,Manufacturing,ChatGPT,20.36,3850,2024,45-54,Startup
China,Manufacturing,Stable Diffusion,2.1,2057,2024,35-44,Startup
South Korea,Technology,ChatGPT,67.56,9390,2024,55+,SME
India,Technology,ChatGPT,42.16,8794,2023,35-44,SME
South Korea,Healthcare,ChatGPT,93.47,2731,2023,18-24,Startup
Australia,Technology,ChatGPT,56.6,8793,2023,25-34,Startup
India,Transportation,Midjourney,90.32,8683,2024,18-24,Enterprise
USA,Education,Stable Diffusion,84.66,4311,2024,18-24,SME
Germany,Agriculture,Midjourney,8.12,6038,2023,18-24,Enterprise
Germany,Finance,Stable Diffusion,67.64,4577,2024,55+,Enterprise
Germany,Transportation,Midjourney,99.53,2315,2023,18-24,Enterprise
Canada,Manufacturing,Stable Diffusion,23.53,7555,2023,55+,Enterprise
India,Education,Midjourney,89.74,5334,2023,55+,Startup
India,Technology,Claude,39.6,882,2024,45-54,Enterprise
Australia,Healthcare,Midjourney,83.31,8509,2024,35-44,SME
South Korea,Finance,ChatGPT,13.94,5479,2024,18-24,Enterprise
China,Finance,Bard,2.26,4949,2024,45-54,Startup
South Korea,Finance,ChatGPT,88.39,9959,2023,35-44,Startup
Germany,Agriculture,ChatGPT,85.61,1223,2024,55+,SME
Germany,Retail,ChatGPT,81.29,7196,2024,25-34,Startup
USA,Healthcare,ChatGPT,16.91,6333,2024,35-44,SME
UK,Education,Claude,79.97,1730,2024,55+,SME
UK,Manufacturing,Midjourney,97.16,6903,2023,25-34,Enterprise
Australia,Agriculture,ChatGPT,31.33,6747,2023,18-24,SME
India,Transportation,ChatGPT,92.98,9819,2024,25-34,Enterprise
India,Finance,Bard,69.58,7072,2024,25-34,Startup
UK,Agriculture,Bard,64.01,1932,2024,45-54,Startup
USA,Healthcare,ChatGPT,22.35,3210,2024,35-44,Enterprise
India,Education,ChatGPT,40.24,7267,2024,18-24,Startup
Australia,Finance,Midjourney,21.59,5358,2024,25-34,Enterprise
South Korea,Education,Midjourney,76.34,4481,2023,25-34,Startup
Canada,Healthcare,ChatGPT,50.42,3889,2024,55+,SME
India,Manufacturing,ChatGPT,44,4920,2024,55+,SME
South Korea,Agriculture,ChatGPT,80.81,9241,2024,55+,SME
Canada,Education,ChatGPT,39.53,7083,2024,25-34,Enterprise
France,Finance,ChatGPT,77.05,2988,2023,25-34,Startup
India,Finance,ChatGPT,23.38,8000,2024,55+,Enterprise
Canada,Manufacturing,ChatGPT,93.92,722,2023,55+,SME
USA,Technology,Midjourney,64.17,9542,2023,35-44,Startup
Australia,Healthcare,Stable Diffusion,41.34,8028,2024,35-44,SME
China,Finance,Midjourney,71.37,8145,2024,25-34,Startup
South Korea,Manufacturing,Stable Diffusion,30.37,9533,2023,35-44,SME
USA,Healthcare,Midjourney,70.48,1252,2023,45-54,SME
Australia,Transportation,Midjourney,92.66,5406,2023,55+,Enterprise
India,Technology,Claude,0.26,6720,2024,25-34,Enterprise
Australia,Agriculture,Midjourney,91.9,231,2024,35-44,Enterprise
UK,Transportation,ChatGPT,11.85,9076,2024,45-54,SME
South Korea,Transportation,ChatGPT,72.73,1523,2023,25-34,Enterprise
Australia,Retail,ChatGPT,71.42,7798,2024,18-24,Enterprise
Germany,Agriculture,Midjourney,50.3,905,2024,45-54,SME
USA,Transportation,ChatGPT,42.15,8631,2024,45-54,Enterprise
Canada,Finance,Bard,44.33,5994,2024,25-34,Startup
UK,Retail,ChatGPT,29.93,1707,2024,55+,Enterprise
USA,Technology,ChatGPT,40.58,6696,2024,55+,SME
Canada,Retail,ChatGPT,20.69,1051,2024,45-54,Startup
China,Retail,Midjourney,49.52,7712,2023,55+,Startup
China,Education,ChatGPT,46.54,246,2024,35-44,Enterprise
USA,Healthcare,Stable Diffusion,12.07,1534,2024,35-44,SME
Germany,Manufacturing,ChatGPT,12.28,4285,2024,25-34,Startup
China,Technology,ChatGPT,96.29,9087,2023,55+,SME
USA,Technology,Midjourney,43.83,4560,2024,25-34,Startup
UK,Manufacturing,Stable Diffusion,38.59,5650,2024,25-34,Enterprise
China,Retail,Midjourney,92.01,4561,2024,18-24,SME
India,Education,ChatGPT,64.99,8886,2024,45-54,Enterprise
UK,Retail,ChatGPT,32.18,4247,2023,25-34,SME
USA,Retail,Midjourney,85.65,9684,2024,25-34,Startup
South Korea,Education,ChatGPT,46.94,3042,2024,55+,Enterprise
UK,Manufacturing,Midjourney,29.93,8617,2024,25-34,SME
South Korea,Retail,Stable Diffusion,89.4,4451,2024,25-34,Enterprise
Brazil,Retail,Stable Diffusion,3.66,3369,2023,25-34,SME
South Korea,Agriculture,Bard,43,8071,2023,55+,SME
Canada,Manufacturing,Midjourney,81.68,9686,2024,55+,Startup
UK,Education,Claude,47.01,5400,2023,55+,Startup
France,Healthcare,Midjourney,83.78,194,2024,55+,Enterprise
USA,Finance,Stable Diffusion,76.82,6018,2024,55+,SME
Brazil,Education,Stable Diffusion,40.26,6028,2024,55+,Startup
Germany,Finance,ChatGPT,92.01,7418,2023,35-44,Startup
USA,Technology,ChatGPT,76.05,7315,2023,25-34,Startup
China,Transportation,Stable Diffusion,68.4,6547,2024,45-54,SME
China,Retail,Stable Diffusion,25.38,1365,2023,45-54,SME
USA,Transportation,Midjourney,25.37,7410,2023,25-34,Enterprise
Australia,Transportation,Midjourney,65.41,8589,2024,18-24,SME
USA,Agriculture,Stable Diffusion,88.9,6641,2024,45-54,Startup
Brazil,Transportation,Stable Diffusion,29.94,6782,2023,45-54,Enterprise
UK,Retail,Stable Diffusion,23.29,5788,2024,18-24,Startup
France,Transportation,ChatGPT,58.77,9035,2024,35-44,Enterprise
Germany,Agriculture,Midjourney,56.85,4708,2024,35-44,SME
India,Manufacturing,Bard,19.47,6532,2024,45-54,Startup
India,Agriculture,ChatGPT,44.62,7626,2023,35-44,Enterprise
Australia,Manufacturing,Midjourney,6.29,238,2024,18-24,Startup
France,Finance,Claude,19.7,5299,2024,18-24,SME
China,Healthcare,ChatGPT,22.28,3074,2024,25-34,Enterprise
Germany,Finance,Bard,98.7,3699,2024,45-54,Startup
South Korea,Agriculture,ChatGPT,49.71,4377,2024,25-34,SME
Brazil,Agriculture,ChatGPT,43.92,4141,2024,35-44,Enterprise
UK,Transportation,Midjourney,17.17,7687,2024,45-54,Enterprise
China,Agriculture,ChatGPT,25.81,5904,2023,35-44,SME
Germany,Technology,Claude,74.08,5014,2024,45-54,SME
Canada,Finance,ChatGPT,50.68,7330,2023,35-44,SME
Canada,Retail,Stable Diffusion,95.58,2257,2024,25-34,Enterprise
India,Finance,Stable Diffusion,99.55,991,2023,35-44,Startup
USA,Healthcare,ChatGPT,29,9786,2024,45-54,Startup
UK,Transportation,Bard,12.64,3459,2024,25-34,Enterprise
France,Agriculture,Midjourney,14.08,3948,2023,25-34,SME
India,Manufacturing,Bard,47.85,690,2024,18-24,Startup
UK,Technology,ChatGPT,31.75,1519,2024,25-34,Startup
India,Agriculture,ChatGPT,82.08,7862,2024,55+,Startup
China,Manufacturing,ChatGPT,16.52,9305,2024,35-44,Startup
Australia,Technology,Midjourney,62.43,5466,2024,18-24,Startup
China,Retail,Midjourney,0.14,7150,2024,25-34,Enterprise
China,Manufacturing,ChatGPT,80.57,5355,2024,18-24,SME
South Korea,Manufacturing,Stable Diffusion,92.72,9693,2024,25-34,Startup
India,Education,Bard,98.41,6952,2024,25-34,Enterprise
India,Manufacturing,Midjourney,6.2,1298,2024,18-24,Enterprise
South Korea,Finance,Stable Diffusion,94.71,6711,2023,18-24,Enterprise
Canada,Finance,Midjourney,94.31,9501,2024,18-24,Startup
USA,Finance,Bard,3.15,7312,2024,55+,SME
UK,Healthcare,Midjourney,55.85,232,2023,25-34,Startup
Canada,Agriculture,ChatGPT,42.05,1898,2024,18-24,Startup
China,Finance,ChatGPT,54.2,3178,2023,25-34,Startup
Canada,Technology,ChatGPT,48.94,816,2024,45-54,Startup
Australia,Education,ChatGPT,22.45,8409,2024,25-34,SME
China,Retail,ChatGPT,73.09,4959,2023,25-34,Enterprise
Brazil,Retail,Claude,14.49,6174,2024,45-54,Startup
UK,Manufacturing,ChatGPT,89.54,6787,2024,45-54,SME
South Korea,Technology,Claude,17.37,5771,2024,25-34,SME
USA,Education,Bard,13.52,1195,2023,45-54,Startup
Germany,Retail,Midjourney,75.73,8299,2024,55+,Enterprise
France,Transportation,Midjourney,33.68,364,2023,25-34,SME
Brazil,Retail,Midjourney,99.22,3505,2024,35-44,SME
China,Agriculture,ChatGPT,23.22,5307,2024,45-54,Enterprise
South Korea,Transportation,ChatGPT,8.72,505,2024,45-54,SME
India,Manufacturing,Midjourney,84.93,9270,2024,35-44,Startup
UK,Manufacturing,Bard,9.18,8824,2024,25-34,Startup
Germany,Education,Bard,79.01,5984,2024,25-34,SME
UK,Finance,ChatGPT,9.5,7285,2024,55+,Enterprise
South Korea,Transportation,Midjourney,83.32,1199,2024,18-24,Startup
France,Technology,Stable Diffusion,56.26,9619,2023,45-54,Enterprise
France,Transportation,Midjourney,13.99,8260,2023,35-44,Enterprise
China,Retail,ChatGPT,25.17,8960,2024,45-54,Enterprise
South Korea,Retail,Claude,4.01,2742,2024,18-24,SME
UK,Retail,Claude,89.67,1359,2024,35-44,Enterprise
Australia,Education,Midjourney,55.75,9726,2023,45-54,Startup
Australia,Agriculture,ChatGPT,69.53,3664,2023,25-34,SME
Australia,Transportation,ChatGPT,76.49,400,2024,25-34,SME
Australia,Finance,Bard,57.68,9527,2024,35-44,Enterprise
UK,Technology,Stable Diffusion,88.86,5596,2023,35-44,Startup
Australia,Education,ChatGPT,82.35,2552,2024,45-54,Enterprise
South Korea,Agriculture,Midjourney,97.66,358,2024,45-54,Enterprise
Germany,Technology,Bard,33.33,1239,2024,25-34,SME
Canada,Finance,ChatGPT,19.98,9724,2024,35-44,Startup
India,Agriculture,Stable Diffusion,89.6,2305,2023,55+,SME
Germany,Education,Stable Diffusion,25.42,6802,2024,18-24,Enterprise
France,Manufacturing,Stable Diffusion,42.56,2789,2024,35-44,Enterprise
Australia,Technology,ChatGPT,76.87,5100,2024,18-24,SME
China,Agriculture,Midjourney,17.59,4584,2024,55+,Enterprise
Canada,Education,Bard,54.33,1283,2023,25-34,SME
Brazil,Manufacturing,Bard,75.08,1350,2023,18-24,Startup
India,Healthcare,Bard,64.55,1734,2023,25-34,Enterprise
USA,Technology,Midjourney,68.55,7881,2024,55+,Startup
Germany,Finance,Bard,81.71,3573,2024,55+,SME
Australia,Healthcare,Midjourney,73.27,3707,2024,35-44,Startup
Germany,Manufacturing,ChatGPT,67.33,5169,2023,18-24,Startup
Brazil,Finance,Stable Diffusion,49.83,2761,2024,18-24,Enterprise
Brazil,Transportation,Midjourney,19.33,351,2024,45-54,SME
Canada,Finance,Stable Diffusion,52.53,647,2023,35-44,Enterprise
Germany,Healthcare,ChatGPT,92.74,1331,2023,45-54,Enterprise
USA,Finance,Stable Diffusion,61.12,1090,2024,35-44,SME
